"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1420","201902051600","4.3","7","1"
"TT_TU_MN009","1420","201902051700","2.6","7","1"
"TT_TU_MN009","1420","201902051800","2","7","1"
"TT_TU_MN009","1420","201902051900","2.6","7","1"
"TT_TU_MN009","1420","201902052000","2.4","7","1"
"TT_TU_MN009","1420","201902052100","2.6","7","1"
"TT_TU_MN009","1420","201902052200","2.4","7","1"
"TT_TU_MN009","1420","201902052300","0.3","7","1"
"TT_TU_MN009","1420","201902060000","-1.2","7","1"
"TT_TU_MN009","1420","201902060100","-1.9","7","1"
"TT_TU_MN009","1420","201902060200","-2.4","7","1"
"TT_TU_MN009","1420","201902060300","-2.8","7","1"
"TT_TU_MN009","1420","201902060400","-3","7","1"
"TT_TU_MN009","1420","201902060500","-3.3","7","1"
"TT_TU_MN009","1420","201902060600","-3.6","7","1"
"TT_TU_MN009","1420","201902060700","-3.6","7","1"
"TT_TU_MN009","1420","201902060800","-2.5","7","1"
"TT_TU_MN009","1420","201902060900","-1","7","1"
"TT_TU_MN009","1420","201902061000","0","7","1"
"TT_TU_MN009","1420","201902061100","2.1","7","1"
"TT_TU_MN009","1420","201902061200","3.9","7","1"
"TT_TU_MN009","1420","201902061300","5.3","7","1"
"TT_TU_MN009","1420","201902061400","5.8","7","1"
"TT_TU_MN009","1420","201902061500","6.4","7","1"
"TT_TU_MN009","1420","201902061600","5.5","7","1"
"TT_TU_MN009","1420","201902061700","2.1","7","1"
"TT_TU_MN009","1420","201902061800","0.3","7","1"
"TT_TU_MN009","1420","201902061900","-0.9","7","1"
"TT_TU_MN009","1420","201902062000","-1.1","7","1"
"TT_TU_MN009","1420","201902062100","-1.8","7","1"
"TT_TU_MN009","1420","201902062200","-2.1","7","1"
"TT_TU_MN009","1420","201902062300","-2.2","7","1"
"TT_TU_MN009","1420","201902070000","-2","7","1"
"TT_TU_MN009","1420","201902070100","-1.8","7","1"
"TT_TU_MN009","1420","201902070200","-1.9","7","1"
"TT_TU_MN009","1420","201902070300","-1.5","7","1"
"TT_TU_MN009","1420","201902070400","-1.1","7","1"
"TT_TU_MN009","1420","201902070500","-1.1","7","1"
"TT_TU_MN009","1420","201902070600","-1","7","1"
"TT_TU_MN009","1420","201902070700","-0.1","7","1"
"TT_TU_MN009","1420","201902070800","0.6","7","1"
"TT_TU_MN009","1420","201902070900","0.9","7","1"
"TT_TU_MN009","1420","201902071000","1","7","1"
"TT_TU_MN009","1420","201902071100","1.4","7","1"
"TT_TU_MN009","1420","201902071200","2","7","1"
"TT_TU_MN009","1420","201902071300","2.7","7","1"
"TT_TU_MN009","1420","201902071400","3.5","7","1"
"TT_TU_MN009","1420","201902071500","4","7","1"
"TT_TU_MN009","1420","201902071600","3.7","7","1"
"TT_TU_MN009","1420","201902071700","2.2","7","1"
"TT_TU_MN009","1420","201902071800","0.5","7","1"
"TT_TU_MN009","1420","201902071900","1.7","7","1"
"TT_TU_MN009","1420","201902072000","2.2","7","1"
"TT_TU_MN009","1420","201902072100","2.7","7","1"
"TT_TU_MN009","1420","201902072200","3.5","7","1"
"TT_TU_MN009","1420","201902072300","2.9","7","1"
"TT_TU_MN009","1420","201902080000","3.3","7","1"
"TT_TU_MN009","1420","201902080100","3.5","7","1"
"TT_TU_MN009","1420","201902080200","4","7","1"
"TT_TU_MN009","1420","201902080300","4.1","7","1"
"TT_TU_MN009","1420","201902080400","3.7","7","1"
"TT_TU_MN009","1420","201902080500","4","7","1"
"TT_TU_MN009","1420","201902080600","4.5","7","1"
"TT_TU_MN009","1420","201902080700","4.9","7","1"
"TT_TU_MN009","1420","201902080800","5.1","7","1"
"TT_TU_MN009","1420","201902080900","5.4","7","1"
"TT_TU_MN009","1420","201902081000","5.9","7","1"
"TT_TU_MN009","1420","201902081100","7.1","7","1"
"TT_TU_MN009","1420","201902081200","8.2","7","1"
"TT_TU_MN009","1420","201902081300","8.2","7","1"
"TT_TU_MN009","1420","201902081400","9","7","1"
"TT_TU_MN009","1420","201902081500","8.9","7","1"
"TT_TU_MN009","1420","201902081600","8.6","7","1"
"TT_TU_MN009","1420","201902081700","8.4","7","1"
"TT_TU_MN009","1420","201902081800","7.9","7","1"
"TT_TU_MN009","1420","201902081900","7.8","7","1"
"TT_TU_MN009","1420","201902082000","7.7","7","1"
"TT_TU_MN009","1420","201902082100","7.4","7","1"
"TT_TU_MN009","1420","201902082200","7.1","7","1"
"TT_TU_MN009","1420","201902082300","7.3","7","1"
"TT_TU_MN009","1420","201902090000","7.4","7","1"
"TT_TU_MN009","1420","201902090100","7.2","7","1"
"TT_TU_MN009","1420","201902090200","5.9","7","1"
"TT_TU_MN009","1420","201902090300","5.9","7","1"
"TT_TU_MN009","1420","201902090400","6.5","7","1"
"TT_TU_MN009","1420","201902090500","6.6","7","1"
"TT_TU_MN009","1420","201902090600","7.1","7","1"
"TT_TU_MN009","1420","201902090700","7.2","7","1"
"TT_TU_MN009","1420","201902090800","7.6","7","1"
"TT_TU_MN009","1420","201902090900","7.8","7","1"
"TT_TU_MN009","1420","201902091000","9","7","1"
"TT_TU_MN009","1420","201902091100","9.3","7","1"
"TT_TU_MN009","1420","201902091200","9.8","7","1"
"TT_TU_MN009","1420","201902091300","9.4","7","1"
"TT_TU_MN009","1420","201902091400","9.8","7","1"
"TT_TU_MN009","1420","201902091500","9.7","7","1"
"TT_TU_MN009","1420","201902091600","9.4","7","1"
"TT_TU_MN009","1420","201902091700","8.8","7","1"
"TT_TU_MN009","1420","201902091800","8.2","7","1"
"TT_TU_MN009","1420","201902091900","7.6","7","1"
"TT_TU_MN009","1420","201902092000","7.8","7","1"
"TT_TU_MN009","1420","201902092100","6.6","7","1"
"TT_TU_MN009","1420","201902092200","6.4","7","1"
