"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"1420","Frankfurt/Main","8.521294","50.025911","100.0","https://cdc.dwd.de/rest/metadata/station/html/812300004455"
"433","Berlin-Tempelhof","13.402115","52.467488","48.0","https://cdc.dwd.de/rest/metadata/station/html/812300083047"
