"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"1420","Frankfurt/Main","8.521294","50.025911","100.0","https://cdc.dwd.de/rest/metadata/station/html/812300004455"
"430","Berlin-Tegel","13.308848","52.564412","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300376871"
